id,body
1216084524825624577,Check out @jillreports’ interview with ⁦@BCCareProviders⁩ CEO Daniel Fontaine on @RBC’s “Navigating the 2020s” repo… https://t.co/0IWV2fQtmk
1216083496881524736,@RBC absolutely pathetic service..been with the bank for 4 years and you are refusing to release my colateral on cr… https://t.co/nutggJryCY
1216080800229150720,@MichelleBailey1 Funny you should say that. We went across the street and opened a @RBC account. #SnoozeYouLose
1216079785698439169,@DeutscheBank @Barclays @BMO @BankofAmerica @WellsFargo @RBC @RBS @Chase @TD_Canada @BarclaysIB @Bankrate… https://t.co/lQV30tEClx
1216076717602824195,The rally ends with encouragement for people to attend both the Vigil at @DalhousieU for the Canadians killed in Ir… https://t.co/64B3uc8vDe
1216070142163136515,@andr5452 @briangm11 @maureen_boland @CTVToronto @RBC https://t.co/db9SRGuGlh
1216068415430914048,@RBC has the worst site to compare bank accounts. OMG! So confusing. Layout changes between accounts mating it real… https://t.co/BrpWdxHVQm
1216068108391264257,I really hope every other bank in Canada is calling him offering accounts with zero fees to him and family. Hey… https://t.co/ZaQjKSqId4
1216067800642404352,You know the Banks are greedy as !@#$ when you've had your account for 24 years and they won't even credit you a $4… https://t.co/qikjreE6y6
1216067042673070080,"@scottu487 @RBC I agree they should reimburse out of compassion, but damn if using your phone number as your pin ai… https://t.co/iSFSTioW03"
1216066428736024577,@WilliamsSupport @WilliamsRacing @RBC Funny how Autosport didn’t mention all of our new sponsors in their article a… https://t.co/rhCPHIuSRS
1216066104436645888,"@MrMrharibo @WilliamsSupport @WilliamsRacing @RBC Yeah, it’s terrific news for the team, isn’t it?"
1216064742252515328,Hey Winnipeg! @Bryan_Baeumler presented by @RBC is in town and presenting on the @HGTVCanada Lifestyle Stage presen… https://t.co/HdxJmWKqQ4
1216063997025218560,@RBC Love how I can now pay my bills through the bank machine 🙏
1216063960912465920,@RBCeconomics @RBC becomes latest cheerleader for the oil sands. Seems this risk-loving bank likes to pile stranded… https://t.co/3F9HVttbc7
1216060463227817984,You know what is so sad @RBC being a victim of a fraud and still have to paid for this action.
1216060104799326209,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co @PwC @PwC_…
1216060038906896384,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1216059774590160896,@briangm11 @maureen_boland @CTVToronto @RBC Read the article and find out
1216058805345226752,"Student scammed $8,000 won't be reimbursed because she used phone number digits as PIN @RBC does nothing 😠🖕 https://t.co/R4VIUrNlPR"
1216058343153971200,"@CTVToronto Typical @RBC   - if you're not rich, they don't care"
1216057402195349504,Another great seminar for you in our RBC Seminar Room 1! Learn Franchise Financing at 1:30 PM. Presented by: Sandro… https://t.co/kwWgKSemsC
1216052108291706880,Hey @RBC. You may need to update your website for this credit card lol. 2017 is a long time ago. https://t.co/r80qf9FuWr
1216047733892698112,"@RBC I have $35 in electronic fees, at $5 per electronic transactions in the course of spending less than $100.  I'… https://t.co/hs4j8ebEvV"
1216046611060658178,"@maureen_boland @CTVToronto @RBC Yes, bank should be liable after it was notified. Do we know how much was taken be… https://t.co/rvJLC3vFwl"
1216046081244647431,@briangm11 @CTVToronto @RBC Except that she notified the bank the next day after it was taken.  The bank didn’t fre… https://t.co/EPQpOfUb65
1216045932325806081,"@RBC Canadian students just died in a huge plane crash, give this Canadian student a break. She will have enough sc… https://t.co/FFmpx3HWpK"
1216045545443201024,RT @stephen_tapp: Women in Economics Mentor Lunch &amp; Learn @TABE_Economics With @TD_Economics and @RBC’s Dawn Desjardins on January 29 https…
1216044199000399872,"@allisoncouto @RBC Very common RBC experience.
Run away as far as you can from them"
1216043950131367937,@RBC @_TylerMcIntyre Trash
1216043899359244293,RT @YoungerGolf: On the sad passing of legendary golf course architect Pete Dye with candid thoughts from @IanAndrewGolf @jeff_mingay &amp; @RB…
1216043602088005633,"@RBC y'all a piece of work. A woman's card was stolen, used without her consent. You have video evidence and refuse… https://t.co/3q3F5xu2P2"
1216042518778957826,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1216039138262159367,"@CTVToronto @RBC made the correct decision. If it gives a refund, all the ""me, too"" will be asking for money!"
1216037803135590401,RT @carolynsmart: So thrilled to share this big news for the @RBC #BronwenWallaceAward &amp; @writerstrust
1216025779630477313,Women in Economics Mentor Lunch &amp; Learn @TABE_Economics With @TD_Economics and @RBC’s Dawn Desjardins on January 29… https://t.co/9h6HR0dQlE
1216013819996200960,"On Monday, we at @RBC welcome our #WinterCoops to our #WinterKickoff2020 with the Early Talent Acquisition Team!  W… https://t.co/aoDcDtcPzS"
1216013391946403840,RT @stmuathletics: BE KIND TO YOUR MIND. Together with @acac_sport and @rbc we will be making some noise to promote mental health! Come out…
1216005037794742278,@VictorJStiff @TFCA @RBC @rickmercer @cameron_tiff Awesome
1216001264712024064,@RBC this is disgusting. Shouldn’t matter if someone can guess your pin. She was obviously scammed out of the money… https://t.co/bIFN7wBTRs
1215998943684898818,@scotiabank @RBC @BMO @cibc @TDBank_US are you funding fossil fuel production? I’m sure you #knowthescience. Are yo… https://t.co/nxOblis5tl
1215998266896154624,RT @YoungerGolf: On the sad passing of legendary golf course architect Pete Dye with candid thoughts from @IanAndrewGolf @jeff_mingay &amp; @RB…
1215996708859129861,On the sad passing of legendary golf course architect Pete Dye with candid thoughts from @IanAndrewGolf… https://t.co/yaVv6UmUZL
1215989751569952773,"@canalBOTECOF1 @WilliamsRacing RBC ???
Kartódromo @RBCracing ???
😅😅😅
@RBC"
1215989206339792896,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215987831753056261,"""Youth are being let down by older generations &amp; those in power. Since 2015, 33 banks have poured $1.9tn into fossi… https://t.co/qErukRxa0m"
1215985947185242113,RT @CdnChamberofCom: 2019 jobs closed out the year tapering off from its heady highs in the first 3 Qs. Was this month's decent rebound the…
1215981031729307648,RT @tdotonian: @CDNConfucius @stevemcniven @TD_Canada @RBC @tdcanadatrust did the same to me!!! Sent me to collections over something like…
1215960656106573824,Supreme Court of BC dates for the Robert Wright Trust January 30th and 31st. #racialprofiling… https://t.co/v2S8ds5S32
1215959464085340165,#racialprofiling @RoyalTrust @RBC @PaisleyW2 https://t.co/IPjScufTJK
1215959139626536961,#racialprofiling @RoyalTrust @RBC @PaisleyW2 https://t.co/Hbw5PJm4kK
1215957851245441024,RT @prisk_heather: #racialprofiling @RoyalTrust @RBC @DominionSecurities https://t.co/UQGkhz06YL
1215956364817657856,RT @GPStorm: Thank you @RBC for sponsoring @TheAJHL and taking the time to talk to our boys about sound financial health! Better to learn i…
1215953143231631360,RT @AbdulAbdial: Yo don't store ur credit card info in the McDonald App. Some guy from Quebec ordered $50 of food using my card. God Bless…
1215950602447933441,#racialprofiling @RoyalTrust @RBC @DominionSecurities https://t.co/UQGkhz06YL
1215950449846603777,"RT @WilliamsRacing: Welcoming @RBC to our family of team partners 🙂 

Read more 👇"
